Neil Gorsuch|To some lawyers, all facts are created equal.
Chris Brown|Trust the young people; trust this generation's innovation. They're making things, changing innovation every day. And all the consumers are the same: they want new things, they want cheap things, they want good things, they want unique things. If we can create these kind of things for consumers, they will come.
John Green, The Fault in Our Stars|He really was beautiful. I know boys aren’t supposed to be, but he was.
Trisha Yearwood|I was doing a tour of the 'Batman' live stage production, and I challenged the cast to join me to run. One time, we were running in Switzerland just before Christmas, and it was heavy snow. Another time, we were running down the Seine in Paris on Christmas Day, and we all had Santa hats on.
Ned Hayes, Sinful Folk|She gently bit his bottom lip, his ear. Worked her way down his body until she reached the inside of his thigh, then bit hard, breaking the skin, drawing blood. "My mark," she said, looking up at him. "Now you'll go back to your wife with my mark.
Robert J. Braathe|Inside the music like this, she understood many things. She understood that Simon was a disappointed man if he needed, at this age, to tell her he had pitied her for years. She understood that as he drove his car back down the coast toward Boston, toward his wife with whom he had raised three children, that something in him would be satisfied to have witnessed her the way he had tonight, and she understood that this form of comfort was true for many people, as it made Malcolm feel better to call Walter Dalton a pathetic fairy, but it was thin milk, this form of nourishment; it could not change that you had wanted to be a concert pianist and ended up a real estate lawyer, that you had married a woman and stayed married to her for thirty years, when she did not ever find you lovely in bed.
Neil Gaiman, Fragile Things: Short Fictions and Wonders|Do not lose hope — what you seek will be found. Trust ghosts. Trust those that you have helped to help you in their turn. Trust dreams. Trust your heart, and trust your story. (from 'Instructions')
Aishwarya Rai Bachchan|Exercise, prayer, and meditation are examples of calming rituals. They have been shown to induce a happier mood and provide a positive pathway through life's daily frustrations.
Jack Dancer, Detour Allure|If you're single and not committed, then go for it. The world's your oyster. But, if you're happily married and want to remain happily married, then the only oyster should be the one sliding down your throat from your spouse.
Julia Cameron, Finding Water: The Art of Perseverance|If we have plain old ordinary fear then we are within reach of a solution. Fear has been with humankind for millennia and we do know what to do about it--pray about it, talk about it, feel the fear, and do it anyway. "Artistic" fear, on the other hand, sounds somehow nastier and more virulent, like it just might not yield to ordinary solutions--and yet it does, the moment we become humble enough to try ordinary solutions.
Laura Kreitzer|Death. It was something I had to think about once. Weird, right? Strange that death was ever an inevitable end, but it wasn’t anymore. Not really. I eluded it. Tricked it. It was an odd concept—the world aged, moved forward, yet I . . . didn’t.
Jeffrey Eugenides|But this is all chasing after the wind. The essence of the suicides consisted not of sadness or mystery but simple selfishness. The girls took into their own hands decisions better left to God. They became too powerful to live among us, too self-concerned, too visionary, too blind. What lingered after them was not life, which always overcomes natural death, but the most trivial list of mundane facts: a clock ticking on a wall, a room dim at noon, and the outrageousness of a human being thinking only of herself.
Michael J. Fox|Science cannot progress without reliable and accurate measurement of what it is you are trying to study. The key is measurement, simple as that.
